,RMSE,MAE,R²
Linear Regression,23480.228187727647,16805.52257387561,0.8949548071522372
Random Forest,24598.627311336342,16688.794143835614,0.8847095586867136
XGBoost (Tuned),20311.77077460259,13833.802734375,0.9213919043540955
